indicator_p_id,target_p_id
1,1
2,2
3,2
4,3
5,4
6,4
7,5
8,5
9,5
10,5
11,6
12,6
13,7
14,8
15,8
16,9
17,9
18,9
19,10
20,10
21,11
22,12
23,12
24,13
25,13
26,14
27,15
28,16
29,16
30,17
31,17
32,18
33,18
34,18
35,18
36,18
37,19
38,19
39,20
40,20
41,21
42,22
43,22
44,23
45,23
46,24
47,24
48,24
49,25
50,26
51,26
52,26
53,27
54,28
55,28
56,29
57,29
58,30
59,30
60,31
61,32
62,33
63,34
64,35
65,36
66,37
67,38
68,39
69,40
70,40
71,41
72,41
73,42
74,43
75,43
76,44
77,44
78,45
79,45
80,46
81,47
82,48
83,49
84,50
85,50
86,51
87,51
88,52
89,52
90,53
91,54
92,55
93,56
94,56
95,57
96,58
97,59
98,60
99,61
100,62
101,63
102,64
103,64
104,65
105,65
106,66
107,67
108,68
109,68
110,69
111,70
112,70
113,71
114,72
115,73
116,73
117,74
118,74
119,75
120,75
121,76
122,77
123,77
124,78
125,79
126,80
127,81
128,82
129,83
130,84
131,84
132,85
133,86
134,87
135,87
136,87
137,87
138,88
139,89
140,90
141,91
142,92
143,93
144,93
145,94
146,95
147,95
148,95
149,96
150,96
151,97
152,97
153,98
154,99
155,99
156,101
157,102
158,102
159,103
160,104
161,104
162,105
163,106
164,107
165,108
166,109
167,110
168,111
169,112
170,112
171,112
172,113
173,113
174,114
175,115
176,116
177,117
178,118
179,119
180,120
181,121
182,122
183,123
184,124
185,125
186,126
187,127
188,127
189,128
190,129
191,130
192,130
193,131
194,132
195,133
196,134
197,135
198,136
199,137
200,138
201,139
202,139
203,139
204,139
205,140
206,140
207,140
208,141
209,141
210,141
211,142
212,142
213,143
214,143
215,144
216,144
217,145
218,145
219,146
220,147
221,148
222,148
223,149
224,150
225,151
226,151
227,152
228,153
229,153
230,154
231,155
232,156
233,157
234,158
235,159
236,160
237,161
238,162
239,163
240,164
241,165
242,166
243,167
244,168
245,168
246,168
247,169
248,169
